[0.0:1.44]  Salve, salve família.
[1022.34:1024.3400000000001]  Você sempre percebe que é isso?
[1024.3400000000001:1026.3400000000001]  Isso, você quase quer dizer isso, né?
[1026.3400000000001:1028.3400000000001]  Ô, essa água é da piama.
[1028.34:1030.34]  Ah, isso!
[1030.34:1031.34]  Vai, tu.
[1031.34:1032.34]  Eu venci.
[1032.34:1033.34]  Perdeu ali.
[1033.34:1035.34]  Seja assim.
[1035.34:1036.34]  Carava, moleque.
[1036.34:1037.34]  Que isso?
[1037.34:1040.34]  O bactista não acredita até agora.
[1040.34:1041.34]  Não acredito no lividinho.
[1041.34:1043.34]  Você é muito rio, só você perdeu o seu lado.
[1043.34:1044.34]  Vé, você queira três de errado.
[1044.34:1045.34]  Eu queria seguir o Felix.
[1045.34:1046.34]  Não queria aquele que...
[1046.34:1047.34]  Que castosio.
[1047.34:1049.34]  Bom, como vocês viram aí ganham?
[1049.34:1050.34]  Qual a gente combinou?
[1050.34:1052.34]  Qual a gente falou do comiesque?
[1052.34:1053.34]  Que eu combinou.
[1053.34:1054.34]  Ninguém combinou nada, não?
[1054.34:1055.34]  Ninguém combinou nada.
[1055.34:1056.34]  Mas não tem isso, não.
[1056.34:1057.34]  Não tem isso, não.
[1057.34:1059.34]  Pra falar, isso cadê o meu prêmio?
[1059.34:1060.34]  Aí.
[1060.34:1061.34]  Paraca, morra, você é meu.
[1061.34:1062.34]  Eu tô grato, meu.
[1062.34:1064.34]  E preve esse.
[1064.34:1065.34]  Tem que ir.
[1065.34:1066.34]  Que carges gigante, cara.
[1066.34:1067.34]  Que que tem aí dentro?
[1067.34:1069.34]  Vamos lá.
[1069.34:1070.34]  Vamos lá.
[1070.34:1071.34]  Estão preparados?
[1071.34:1072.34]  Não.
[1072.34:1073.34]  Vai.
[1073.34:1074.34]  Que isso?
[1074.34:1075.34]  É isso!
[1075.34:1080.34]  O balduco chocotone de 10 quilos.
[1080.34:1083.34]  Eu acho que nós todos merecemos aqui
[1083.34:1085.34]  uma fatia do balduco chocotone de ganho.
[1085.34:1087.34]  Nós que delícia, mano.
[1087.34:1090.34]  Você sabia que chocotone é uma parada brasileira
[1090.34:1092.34]  inventada aqui no Brasil?
[1092.34:1093.34]  Pela família balduco,
[1093.34:1095.34]  você não me engana a segunda geração.
[1095.34:1096.34]  É.
[1096.34:1098.34]  O cara falou a se tudo,
[1098.34:1100.34]  eu acho que eu gostar de esse fosse de chocoláctrica.
[1100.34:1101.34]  Por bem demais.
[1101.34:1104.34]  E o chocotone, as gotas de chocoláctrica
[1104.34:1105.34]  é porque a galera mais jovem,
[1105.34:1108.34]  eles estavam acostumados a catar as frutinhas
[1108.34:1110.34]  e aí a família balduco decidiu que aitão.
[1110.34:1111.34]  Vamos colocar chocoláctrica,
[1111.34:1113.34]  porque aí os jovens não vão tirar os...
[1113.34:1115.34]  ninguém vai catar os chocoláticos.
[1115.34:1117.34]  Nossa, é uma pedaça.
[1117.34:1119.34]  Você não tem que dizer a mesma coisa mais de ça, mano.
[1119.34:1121.34]  Nossa, é isso!
[1121.34:1123.34]  O lebedo seu!
[1123.34:1126.34]  Nossa, olha esse balduco chocotone, velho.
[1126.34:1127.34]  Vai.
[1127.34:1128.34]  Nossa!
[1131.34:1134.34]  Ah, que lindo!
[1134.34:1136.34]  Ah, muito bom, que era uma pedaça.
[1136.34:1138.34]  Que lindo!
[1138.34:1140.34]  Nós vemos.
[1140.34:1142.34]  Muito bom, mano.
[1142.34:1144.34]  Eu amo natal.
[1144.34:1146.34]  Cheguei essa conclusão.
[1146.34:1148.34]  Como é que é uma celebração de natal típica lá em Angola?
[1148.34:1149.34]  Primeiro.
[1149.34:1150.34]  Lê há 24.
[1150.34:1151.34]  Eu lhe adasteia.
[1151.34:1155.34]  Fazer um prato frio, que é um prato que tem que ter em todos os natal.
[1155.34:1156.34]  O que é um prato frio?
[1156.34:1158.34]  É batata com bacalhau.
[1158.34:1160.34]  A gente também com um bacalhau no Brasil, né, natal.
[1160.34:1161.34]  É.
[1161.34:1163.34]  Lhe vez em quando temos aqueles bolinhos de natal,
[1163.34:1164.34]  um pudinho.
[1164.34:1169.34]  Mas aí vocês já comeram o balduco chocotone na chapa com canela?
[1169.34:1170.34]  Vió que já, cara.
[1170.34:1171.34]  É uma delícia.
[1171.34:1172.34]  É uma chapa.
[1172.34:1173.34]  É uma delícia.
[1173.34:1176.34]  Você bota na chapa, ele derrete um pouquinho o chocotone.
[1176.34:1177.34]  Bota um pouquinho de canela.
[1177.34:1178.34]  Nossa!
[1178.34:1179.34]  Daí mais diferente, bota queijão.
[1179.34:1181.34]  Mas no balduco espalhato, hein?
[1181.34:1182.34]  O chocotone também, não dou, na verdade, né?
[1182.34:1186.34]  Quando falem natal, pra mim, uma referência de uma memória legal de natal,
[1186.34:1190.34]  eu lembro de um que foi bem típico de criança, assim.
[1190.34:1193.34]  Eu lembro que tava todo mundo volta lá na minha casa, da minha avó, na verdade.
[1193.34:1196.34]  Tinha um presentinho que era o meu na árvore, lá quando eu peguei.
[1196.34:1197.34]  Era um negócio de estamaia assim.
[1197.34:1201.34]  Era um estógico que virava um robô, igual do irmão do Joréu.
[1201.34:1203.34]  Então, se você apertar um botão, você é uma régua.
[1203.34:1204.34]  Perto um botão, você é uma lupa.
[1204.34:1208.34]  Perto um botão, o pé, tu guarda o grafite, sei lá.
[1208.34:1211.34]  E aí, mas ele durou muito tempo, não.
[1211.34:1212.34]  Um que ele foi proibido, né?
[1212.34:1214.34]  O professor me deixou a levar pra escor?
[1214.34:1215.34]  Por quê?
[1215.34:1216.34]  Ah, porque é um brinquedo, né?
[1216.34:1218.34]  Eu era uma criança, segundo que ele quebrou rápido também.
[1218.34:1223.34]  Lembro que foi um dos mais felizes, cara, porque eu fiquei muito feliz com esse presente.
[1223.34:1224.34]  E eu era uma criança.
[1224.34:1229.34]  Na minha família, de eu se encarpei da manhã, a gente geralmente comem o Choco-Tone mesmo,
[1229.34:1232.34]  o Balduco Panetone, mas eu sou muito fan do Choco-Tone.
[1232.34:1238.34]  E aí, geralmente com o requeigão, mas a gente faz, na minha casa, churrasco e é mineiro, né?
[1238.34:1239.34]  Então, o queiginho, né, grega ele.
[1239.34:1241.34]  Onde queijo, com o língua e...
[1241.34:1243.34]  Na minha casa também tem uma parada que a gente tem muito cachorro.
[1243.34:1245.34]  Você está o mais cachorro que a gente, assim, sabe?
[1245.34:1246.34]  Então, pra ficar ligado, é real.
[1246.34:1248.34]  Você está apotando o Choco-Tone aqui.
[1248.34:1250.34]  Tem uma carinha aqui, ó.
[1250.34:1252.34]  Vai, vai dar amor pra tu ver, dá amor.
[1252.34:1254.34]  E tu, Fênix, lá na Irlanda, era como?
[1254.34:1255.34]  É como.
[1255.34:1258.34]  A minha família tinha um natal muito tradicional.
[1258.34:1263.34]  Eu tinha sorte de ser do núcleo da família que a galera vinha na minha casa.
[1263.34:1266.34]  Então, a família inteira vinha na minha casa no natal.
[1266.34:1270.34]  E aí, era uma baita-fecha, mais de 30 pessoas, assim.
[1270.34:1272.34]  E a gente fez isso muitos anos.
[1272.34:1277.34]  E eu lembro que foi por causa do natal e um natal desses que eu ganhei em Caron, um Game Boy.
[1277.34:1279.34]  E aí, eu falei, cara, é isso que eu quero pra minha vida.
[1279.34:1281.34]  Ah, se quer ser Game Boy.
[1281.34:1283.34]  Ah, tu queria ser um Game Boy, é isso?
[1283.34:1284.34]  Exato.
[1284.34:1287.34]  Como é que se descobriu que papai não é ou não existe?
[1287.34:1289.34]  Cara, eu lembro uma vez que eu ganho uma bicicleta.
[1289.34:1293.34]  Meu irmão, eu fiz um barulho no quintal e a bicicleta apareceu, assim, no quintal da minha mãe.
[1293.34:1298.34]  E eu fiquei muito... de como aquela bicicleta chegou no meio do quintal da minha mãe.
[1298.34:1301.34]  E aí, eu fiquei... um monte de... de mato.
[1301.34:1304.34]  É, que é mariana morava no meio do mato, né?
[1304.34:1305.34]  É, mariana morava no meio do mato, mano.
[1305.34:1307.34]  E ninguém me falava.
[1307.34:1310.34]  Como é que aquela bicicleta tinha chegado no meio do quintal da minha mãe.
[1310.34:1315.34]  E aí, eu saquei que tinha alguma coisa errada porque meu irmão estava rindo muito.
[1315.34:1316.34]  Ah...
[1316.34:1320.34]  Foi aí daí que eu comecei a prestar atenção e eu fiquei que era tudo mentira.
[1320.34:1323.34]  Quando eu descobri, foi... eu já era meio desconfiado.
[1323.34:1325.34]  Porque papai não é ou vai vir aqui atrás, é um presente, não é?
[1325.34:1326.34]  Vá, beleza.
[1326.34:1329.34]  Aí, um dia, meu pai deixando um presente...
[1329.34:1331.34]  Eu era perguntado, dormindo.
[1331.34:1334.34]  E ele entrou no meu quarto e eles condem um presente, ó, meu pai.
[1334.34:1335.34]  Ainda bem, né?
[1335.34:1337.34]  A alternativa estranha, cara.
[1337.34:1340.34]  Um cara que invadiu a casa desse um presente, meio que descobrir porque o meu tio...
[1340.34:1342.34]  se fantasiava de papai não é ou não na tal.
[1342.34:1344.34]  Então eu vi aqui, era o meu tio, né?
[1344.34:1346.34]  Eu vi, eu... foi, é o tio Paul César.
[1346.34:1348.34]  Não é o papai no meu.
[1348.34:1350.34]  Logo, papai não é ou não deve desistir.
[1350.34:1352.34]  Acho que eu nunca me questionei porque tipo...
[1352.34:1354.34]  Na minha casa, nunca teve xaminé.
[1354.34:1357.34]  E sempre o pai andava na xaminé, eu ficava tipo, ah, nunca vai vir.
[1357.34:1361.34]  Se o pai natal entrar na janela, pra me agatou, pra me...
[1361.34:1362.34]  É isso, é gato?
[1362.34:1365.34]  Uma história lá da onde eu fui criado, como que a gente...
[1365.34:1367.34]  A gente... diferente do Feny, que se a gente nunca teve...
[1367.34:1368.34]  a família muito grande, assim.
[1368.34:1372.34]  Se vi um ano que a gente tava meio complicado de situação financeira ali,
[1372.34:1375.34]  meu pai tinha saído do trabalho e tal.
[1375.34:1377.34]  E quase que não rolou a C, sabe?
[1377.34:1381.34]  E aí, lá tinha muita cultura de brincar na rua, jogar bola até tarde, tal.
[1381.34:1383.34]  E aí tinha um pessoal que...
[1383.34:1386.34]  Tipo, meus pais identificaram que aquela criança não ia ter numa C.
[1386.34:1387.34]  Sim, sabe?
[1387.34:1390.34]  Virou lá em casa, virou o lugar...
[1390.34:1393.34]  A gente centralizou todo mundo que não tinha pra onde ir.
[1393.34:1396.34]  Eu acho que nesse momento que eu entendi o bagulho do Espírito,
[1396.34:1398.34]  lá tá lendo mesmo, sabe? Porque eu fiquei...
[1398.34:1401.34]  Pô, quase não teve nossa ceia, tipo, pra três pessoas...
[1401.34:1403.34]  E de repente tava até no geral.
[1403.34:1405.34]  Pais tava vendo que precisava... As pessoas precisavam,
[1405.34:1407.34]  mas eles acolhendo todo mundo, falei, cara.
[1407.34:1408.34]  Entendi.
[1408.34:1411.34]  E, cara, vamos fazer algo semelhante aqui, porque a gente participou aqui do vídeo,
[1411.34:1414.34]  fizemos aqui... as brincadeirinhas, eu ganhei...
[1414.34:1415.34]  Não sei, tá falando?
[1415.34:1416.34]  Eu ganhei.
[1416.34:1417.34]  Eu que ganhei, olha isso aqui, cara.
[1417.34:1419.34]  E olha isso aqui, nome.
[1419.34:1420.34]  Então, ó...
[1420.34:1423.34]  Não vai conseguir comer todo esse balduco chocotone aqui de 10 quilos.
[1423.34:1424.34]  Então, equipe.
[1424.34:1425.34]  Chega aí, todo mundo.
[1425.34:1427.34]  Vamos dividir aí, fala.
[1427.34:1429.34]  Porém, você não esperava, né?
[1429.34:1431.34]  Que é a nossa família de todo dia aqui.
[1431.34:1432.34]  A paz.
[1432.34:1433.34]  Todo mundo, chega aí.
[1433.34:1435.34]  Meu, a massa é excelente, tá muito bom.
[1435.34:1438.34]  Toda a final de gravação é de viancé, assim.
[1438.34:1439.34]  Todo mundo que eu tinha comendo.
[1439.34:1441.34]  Cara, eu acho que não deu certo.
[1441.34:1442.34]  Bora gravar de novo.
[1442.34:1443.34]  Vamo.
[1443.34:1446.34]  Aí, família, a seguinte, essa foi a celebração da família Flo,
[1446.34:1448.34]  espero que você tenha um bom fim de ano aí.
[1448.34:1451.34]  Um bom natal com bastante balduco, chocotone ou paletone,
[1451.34:1453.34]  depende da sua preferência aí,
[1453.34:1456.34]  mas que seja feliz e que seja da melhor maneira que dá pra ser.
[1456.34:1457.34]  Beleza?
[1457.34:1459.34]  Feliz natal, um feliz 2025,
[1459.34:1460.34]  e vamos junto pra ano que vem.
[1460.34:1461.34]  Tchau.
[1461.34:1462.34]  Bora!
[1462.34:1463.34]  Bora!
