[0.0:2.0]  DISH
[1875.34:1878.9799999999998]  Não, é da hora, tipo assim, vou falar que o outro ganho é voo doar, entendeu?
[1878.9799999999998:1884.62]  Daí, tipo assim, começou, a primeira live, 10 mil pessoas, segunda live, 15 mil
[1884.62:1889.5]  pessoas, terceiro, teve uma hora que eu já bateram 40, 30 mil pessoas, eu falei, caralho,
[1889.5:1893.18]  que é santo, e deu como se eu entender que é real algoritmo, cara.
[1893.18:1897.1]  Porque eu fiquei surindo uma mandioca, porque as meninas segura fruta, entendeu?
[1897.1:1900.5]  Uma laranjinha, uma mação, se eu lhe olha uma mandioca, uma mandioca maior que eu achei na
[1900.5:1903.34]  feira, pô, a mandioca tinha 30 quilo, cara.
[1903.34:1905.78]  Se eu gramo uma mandioca era pesada, vamos ficar pesada depois.
[1905.78:1909.9]  Se eu gramo uma mandioca, comecei a falar uma parte besteira, fiquei ali reagindo, rosa,
[1909.9:1913.86]  rosa, rosa, fechava, fazia 1 hora de live fechava, 4k.
[1913.86:1917.54]  A parada esquisita, mesmo, entendeu?
[1917.54:1921.26]  Eu falei assim, mano, eu enterto Twitter, todo mundo fã de mim, metrópole e postão, foi
[1921.26:1924.26]  eu vou continuar essa pô, vai fazer o projeto, entendeu?
[1924.26:1925.26]  Fazer o projeto, entendeu?
[1925.26:1931.62]  Daí, eu comecei, fiz uma semana na última live que eu vou fazer, e nisso eu entro
[1931.62:1934.2199999999998]  globo, a globo me chamou, porra, você quer dar uma entrevista?
[1934.2199999999998:1939.1799999999998]  G1, foi mano, o que eu vou fazer no G1, cara, falando dessa pôrra, eu não sei, tem
[1939.18:1940.98]  que fazer, foi, assim, tem.
[1940.98:1945.3]  Deus é que a Camargo me chamou para a Bande, ou você quer vir aqui na Baja, as pessoas
[1945.3:1949.22]  tudo fazem live de NPC, todo mundo começou a fazer, todo mundo começou a fazer live de NPC,
[1949.22:1951.02]  você puxar o TikTok, era só live de NPC.
[1951.02:1952.02]  Exatamente.
[1952.02:1956.8600000000001]  Eu falei, caralho, que brisa, né cara, uma brisa que a gente começou, e deixou o momento
[1956.8600000000001:1961.78]  começou a desincolar de mim, agora assistia, fazia e nem sabia que era eu, e daí foi
[1961.78:1966.0600000000002]  uma cara alheada de famoso, Rafael Portugá, uma cara alheada de famos fazia, entendeu?
[1966.0600000000002:1967.78]  Daí eu fui convitado por G1.
[1967.78:1970.02]  Mas você achou quando tu viu a galera fazendo?
[1970.02:1972.22]  Ah, cara, eu que eu achei.
[1972.22:1979.98]  Porque assim, a minha reação era caralho, olha o com um becil, o ser humano consegue
[1979.98:1981.18]  sema, né?
[1981.18:1983.98]  A minha brisa foi uma coisa assim também, entendeu?
[1983.98:1987.62]  Foi uma brisa uma coisa assim também, foi ele caralho, cara, porra, eu estou produzindo
[1987.62:1991.82]  vídeo para caralho, estou tentando fazer uma parada legal, estou tentando fazer um roteiro
[1991.82:1992.82]  legal.
[1992.82:1996.3799999999999]  O que eu foi conhecido é por segurar uma mandióca, porra.
[1996.38:1998.8600000000001]  E caralho, ser humano é maluco mesmo, né?
[1998.8600000000001:2002.66]  Foi um teste até um experimento social que eu fiz, entendeu?
[2002.66:2004.3400000000001]  Experimento social mesmo.
[2004.3400000000001:2005.3400000000001]  E do que acontece?
[2005.3400000000001:2009.3000000000002]  Passado uma semana fazendo, aparece uma viso, abre a live, parece uma viso.
[2009.3000000000002:2011.5400000000002]  Tic tocamos duas cegras de live in PC.
[2011.5400000000002:2012.5400000000002]  Não pode mais fazer live.
[2012.5400000000002:2014.3400000000001]  Não pode mais porcar de mim, não flicar.
[2014.3400000000001:2015.3400000000001]  Tu futeu.
[2015.3400000000001:2016.3400000000001]  Que feito.
[2016.3400000000001:2017.3400000000001]  Mermão, eu cheguei a pressão.
[2017.3400000000001:2020.5800000000002]  Pum, puxou o charoto, um vinho, flic, que feito.
[2020.5800000000002:2022.3400000000001]  Estou realizado.
[2022.3400000000001:2024.1000000000001]  Agora eu estou realizado.
[2024.1000000000001:2025.1000000000001]  Que esse?
[2025.1000000000001:2026.1000000000001]  Olha o tic toque.
[2026.1:2028.6999999999998]  A visão aponta o divista do tic toque é o seguinte.
[2028.6999999999998:2030.62]  O ponto de vista do tic toque é o seguinte.
[2030.62:2037.06]  Um arrombado criou uma conta na minha plataforma e em seguida fudeu o rolê.
[2037.06:2041.1799999999998]  Em seguida ele fez todo mundo fazer live in PC.
[2041.1799999999998:2042.1799999999998]  Só tinha essa.
[2042.1799999999998:2044.1799999999998]  Eu acho que ele estava a gente vai reclamar.
[2044.1799999999998:2045.1799999999998]  E aí o metade vai pra ele.
[2045.1799999999998:2046.1799999999998]  Caralho.
[2046.1799999999998:2047.1799999999998]  Caralho.
[2047.1799999999998:2048.18]  Du nada.
[2048.18:2049.98]  Tipo, não tinha esse problema não existia.
[2049.98:2053.3399999999997]  E grato, mano, no metade da grana vai pro tic toque, acho que não vai nem reclamar.
[2053.3399999999997:2055.66]  Porque é a live que mais da dê essa, a live não pensei.
[2055.66:2059.54]  Porque é focado, é voltada pro duneite, é voltada pro par de grana, treino.
[2059.54:2061.74]  Deve ter alguma coisa na live in PC.
[2061.74:2062.74]  Cara, fode o algoritmo.
[2062.74:2067.3399999999997]  Que fode no sentido de mira pessoas pra aquele conteúdo.
[2067.3399999999997:2069.8999999999996]  Estou se que eu estou viajando, tá bom?
[2069.8999999999996:2078.74]  Porque é um bagulho, é a primeira vez que eu vejo um tipo de conteúdo está abanido.
[2078.74:2080.14]  Isso aqui não você não pode fazer aqui.
[2080.14:2081.14]  Nunca vi também na minha vida, cara.
[2081.14:2082.94]  Eu fiquei chocado.
[2082.94:2085.58]  Quando apareceu a visusinho eu falei caralho, que porra é...
[2085.58:2089.46]  A real deve fuder economia, deve fuder alguma coisa isso daí, cara.
[2089.46:2090.46]  Mano, deve ser.
[2090.46:2091.46]  Deve ser alguma, alguma par...
[2091.46:2092.46]  Não é a ideia tipo...
[2092.46:2095.46]  Ah, olha como ser humano aí engraçado.
[2095.46:2097.58]  É porque o tic toque se pronuncia outro, cara.
[2097.58:2100.2999999999997]  O tic toque tem que mudar a regra, cara, o tic toque.
[2100.2999999999997:2105.98]  E é uma coisa que só tem no Brasil de tão grande que foi essa pôde da live in PC, mano.
[2105.98:2107.98]  Quando que eu esperar, cara?
[2107.98:2110.18]  Eu achei que seria só um vídeozinho, hein, treinado.
[2110.18:2113.02]  Quando que eu esperar que eu fudei a parada, porra.
[2113.02:2114.02]  Entendeu?
[2114.06:2116.98]  O tic toque mudou e deve você entrar no Japão, você pode ir lá no PC.
[2116.98:2119.7]  Você entra no Estados Unidos para fazer no Brasil não pode.
[2119.7:2121.22]  Você não pode usar o IPC, tem...
[2121.22:2126.46]  Os cara botou um robô, botou um gorítimo para reconhecer aquela live in PC pra banir.
[2126.46:2128.3]  Mano, é coisa de você fazer por dois minutos.
[2128.3:2132.34]  Se você falar assim, rosa, puma, parece a notícia, notificação, puma, acabou.
[2132.34:2133.14]  Você não vai fazer.
[2133.14:2137.94]  Aí fala assim, ó, você vai fazer a live in PC, mas vai ser limitado, não vai mandar pra ninguém.
[2137.94:2143.7]  Eu falei, cara, alho, quando eu imaginar que ia tomar esse tamanho, a gente nunca sabe, cara.
[2143.7:2147.9399999999996]  A gente nunca sabe quando vai ser grande quando vai ser pequena, na verdade, essa parada é só fazendo.
[2147.9399999999996:2152.54]  A parada é você ir fazendo porque você nunca sabe quando vai ser grande quando você é pequena.
[2152.54:2153.3799999999997]  Quando vai...
[2153.3799999999997:2156.58]  E assim, não ser emocionata, é uma coisa que eu tenho comigo, cara.
[2156.58:2159.46]  Tipo assim, porra, a parada foi grande demais.
[2159.46:2159.98]  Eu poderia...
[2159.98:2162.7]  Muita gente ia ficar, tipo assim, caralho, nosso, sofó, eu tô falando...
[2162.7:2164.58]  Eu falei, cara, foda-se, treinado.
[2164.58:2166.4199999999996]  Tipo assim, daqui a pouco se acaba.
[2166.4199999999996:2168.4199999999996]  daqui a pouco se passa, daqui a pouco ninguém tá falando.
[2168.4199999999996:2169.2599999999998]  E assim, a vida.
[2169.2599999999998:2171.2599999999998]  E daí, tipo assim, tanto pro bom...
[2171.3:2172.9]  Tanto pro bom, tanto pro ruim.
[2172.9:2173.9]  Tudo passa, cara.
[2173.9:2175.5]  A vida passa, entendeu?
[2175.5:2176.7400000000002]  Quando é que você tá aprendendo isso?
[2176.7400000000002:2179.1400000000003]  Porque tem novo, tu tem 25 anos.
[2179.1400000000003:2182.0600000000004]  Geralmente as pessoas chegam a essa conclusão, um pouco mais de maturidade.
[2182.0600000000004:2183.0600000000004]  Se acha.
[2183.0600000000004:2185.0200000000004]  Aí eu não sei se é maturidade, eu não sei se é maturidade.
[2185.0200000000004:2186.5]  E é que, esse é o Bruno.
[2186.5:2187.7000000000003]  Obrigado, Bruno.
[2187.7000000000003:2190.42]  Eu não sei se é que eu via, assim, de relânsito pra surgir.
[2190.42:2193.78]  Eu não sei se é maturidade, eu acho que é uma noção que eu tenho.
[2193.78:2197.7400000000002]  De pegar e falar assim, cara, isso passa, tipo assim, isso aqui não vai durar pra sempre, tu reado.
[2197.74:2199.02]  Eu não posso me emocionar.
[2199.02:2202.7799999999997]  Vão se nosso, sou muito foda, sou caralho, sou um cara foda pra caralho.
[2202.7799999999997:2205.58]  Nossa, eu fui convidado por uma parada, muito foda.
[2205.58:2207.3799999999997]  Nossa, eu sou o cara mais foda do mundo.
[2207.3799999999997:2208.9799999999996]  Vai passar, cara.
[2208.9799999999996:2209.9799999999996]  Trinado.
[2209.9799999999996:2212.8999999999996]  E depois, coisa ruim também, aí, entrou cachorro aqui.
[2212.8999999999996:2214.3799999999997]  Coisa ruim também?
[2214.3799999999997:2215.5]  Coisa ruim, isso faz assim, nossa.
[2215.5:2218.18]  Agora, tipo assim, tá uma merda, tá uma desgraça.
[2218.18:2219.18]  Caralho, tá uma inferta.
[2219.18:2220.54]  Vamos falar uma parada.
[2220.54:2221.54]  Vai passar também, cara.
[2221.54:2223.02]  Fica tranquilo.
[2223.02:2226.5]  Então, tipo assim, cara, seja no pico, ou seja no mais don't grade,
[2226.5:2229.74]  que tem, tipo, no abismo, eu tô jogando no video game, só.
[2229.74:2230.94]  Pra perto, não me emociona.
[2230.94:2232.86]  Não me emociona mesmo assim.
[2232.86:2233.86]  Não me emociona.
[2233.86:2234.86]  Então, lá, gente, pensei, foi isso, cara.
[2234.86:2237.74]  Eu fui num G1, eu falei com gente pra cara, fui na Ool,
[2237.74:2239.54]  falei com gente pra caralho.
[2239.54:2243.14]  Podasse ficar chopo, você carinho, depois aí, na cabecinha dele.
[2243.14:2246.14]  Eu fui na Ool, fui num G1, fui em coisa pra caralho.
[2246.14:2248.14]  E fiquei trolando porra.
[2248.14:2251.74]  Porque o cara fala assim, veja bem, no jornalista, cara.
[2251.74:2253.22]  Eu quero formar, tá?
[2253.22:2255.58]  O cara imagina, chegou, o irmão do pra ele.
[2255.9:2256.98]  O chefe dele, assim.
[2256.98:2261.22]  Irmão, tá bombando a live de NPC e o primeiro cara foi o felca.
[2261.22:2263.42]  É, irmão, cac porra é essa.
[2263.42:2264.66]  O que é que tique toque?
[2264.66:2267.66]  Eu acho que o cara ia conversar com o retardado mental, assim.
[2267.66:2269.66]  Eu acho que ele pensou assim, mano, eu vou conversar com o cara,
[2269.66:2271.54]  boa sacra, vai conseguir gostar.
[2271.54:2272.54]  Eu chegue pra assim.
[2272.54:2274.34]  Eu compro a brisa, vai pra eu falar assim.
[2274.34:2276.98]  Mas quando você começou a falar assim, assim.
[2276.98:2280.46]  Isso foi muito importante, por exemplo, que eu digo, eu comecei.
[2280.46:2282.02]  Nossa, muda tudo.
[2282.02:2283.02]  Mudou tudo.
[2283.02:2284.7]  Eu tava trolando, eu ia fazer pra uma semana.
[2284.7:2288.3399999999997]  Mas eu falei que, nossa, é minha carreira, ela com certeza muda.
[2288.3399999999997:2290.18]  Direcionou pra esse lado.
[2290.18:2291.3399999999997]  Com certeza eu direcionei.
[2291.3399999999997:2293.98]  Agora eu acho que é live de NPC, eu quero pra minha vida, tá?
[2293.98:2295.8599999999997]  Eu quero fazer, nossa, que não sei o que.
[2295.8599999999997:2297.3799999999997]  Que trola no jornalista.
[2297.3799999999997:2300.98]  Eu vou ser que a Camargo pra Band, apareci na TV,
[2300.98:2301.98]  vou, não habilita.
[2301.98:2304.8599999999997]  Porque eu tomei troando a pire de trolar o jornalista.
[2304.8599999999997:2305.8599999999997]  Porque eu vou fazer o que?
[2305.8599999999997:2307.98]  Eu vou ser e estar parada, não vou.
[2307.98:2309.58]  Eu vou ser e estar parada, mas eu vou falar o que aí.
[2309.58:2311.4199999999996]  Vou falar assim, não é um live de NPC, só um troco,
[2311.4199999999996:2312.74]  tô fazendo que eu vou dar depois, não.
[2312.74:2315.1]  Vou comprar o brilho do cara, o cara tá na brisa.
[2315.1:2317.4599999999996]  O cara tá achando que é x, vou falar que é x, porra.
[2317.4599999999996:2319.2999999999997]  O cara é entender, entender.
[2319.2999999999997:2321.2999999999997]  Eu fiquei comprando a brisa mesmo, entendeu?
[2321.2999999999997:2322.2999999999997]  Entendi, o cara chegou.
[2322.2999999999997:2324.8999999999996]  Mas foi uma parada gigante, Igor, sim, uma parada gigante mesmo.
[2324.8999999999996:2326.3799999999997]  Tu fodeu a internet, tipo.
[2326.3799999999997:2327.3799999999997]  É isso que foi aparado.
[2327.3799999999997:2332.3399999999997]  Não fodei, não, mas assim, o TikTok dematrou lado ali, né?
[2332.3399999999997:2334.74]  E o brasileiro é poderoso, por isso que não pode tanto.
[2334.74:2335.74]  Porque tinha de tudo.
[2335.74:2338.74]  Tinha algum zicônico, está ligado,
[2338.74:2342.4199999999996]  que os vídeos viralizaram também em outras redes sociais.
[2342.42:2343.42]  Isso não é um vídeo, porra.
[2343.42:2344.42]  Ah, é que é que é com os filmes.
[2344.42:2345.42]  Por quê?
[2345.42:2347.42]  Eu tu queria ter viralizado mais ainda.
[2347.42:2348.42]  Cara, você...
[2348.42:2349.42]  Eu acho que...
[2349.42:2352.42]  Que bom eu te viralizar e todo mundo te encaia, inclusive você.
[2352.42:2354.42]  Entendi, entendeu?
[2354.42:2355.42]  Não, tô brincando.
[2355.42:2356.42]  Não fiquei com os filmes, não.
[2356.42:2357.42]  Eu achei engraçado, na real.
[2357.42:2359.42]  Você viu Rafael Portugal fazendo uma parte de humorista,
[2359.42:2361.42]  ou um parte de gente fazendo, botando uma carnação.
[2361.42:2362.42]  Não vou menagem pra você.
[2362.42:2364.42]  É, eu achei engraçado, eu fiquei feliz.
[2364.42:2365.42]  Não fiquei com os filmes, não.
[2365.42:2367.42]  Eu achei feliz, eu falei assim, caralho, que brisa, mano.
[2367.42:2370.42]  A parada tá chegando no nível, tipo, uma coisa que eu comecei.
[2370.42:2373.42]  Uma ideia minha que eu tive, tá chegando no nível de humorista da hora que eu admiro.
[2373.42:2375.42]  Rafael Portugal, é uma cara que eu admiro pra caramba,
[2375.42:2378.42]  fazendo a parada e tal, os que dá hora, entendeu?
[2378.42:2380.42]  Que legal que eu posso ter esse alcance, sabe?
[2380.42:2382.42]  Com algo que eu faço, tipo, no meu quarto, cara.
[2382.42:2385.42]  No meu escritório lá, tipo, assim, nem na escritória é um quarto.
[2385.42:2387.42]  Eu chamo escritório, só por isso é mais sério.
[2387.42:2388.42]  Entendeu?
[2388.42:2389.42]  É um quarto, cara.
[2389.42:2391.42]  Eu boto uma cadeira, boto uma pczinha, ali, for reba.
[2391.42:2394.42]  Fico fazendo um vídeozinho com uma câmera que eu tenho a 10 anos,
[2394.42:2396.42]  que eu tenho aquela câmera suja.
[2396.42:2399.42]  E eu faço assim, cara, algo que dá hora de fazer uma parada e chegar, porra.
[2399.42:2404.42]  Na G1, chegar no Rafael Portugal, chegar na parada, assim, porra, pra mim, uma ouro, cairando.
[2404.42:2405.42]  Cara, né?
[2405.42:2407.42]  Eu acho engraçado, eu acho da hora.
[2407.42:2410.42]  E pra mim, cara, achar engraçado na parada é coisa mais importante.
[2410.42:2412.42]  É o cara engraçado, né, cara?
[2412.42:2413.42]  Devertido, assim, porra.
[2413.42:2416.42]  Que engraçado que a galera tá comprando essa abrida, né?
[2416.42:2417.42]  É.
[2417.42:2418.42]  Entendeu?
[2418.42:2419.42]  Na as maneiras também, quando é isso, cara.
[2419.42:2426.42]  Toda vez que suja uma parada que parece com um movimento que a gente com iniciou,
[2426.42:2427.42]  é...
[2427.42:2428.42]  É você, tem uma sensação.
[2428.42:2432.42]  Porra, você consegue falar com toda a autoridade sobre o movimento que se iniciou, né, cara?
[2432.42:2434.42]  O podcast no Brasil veio do flopo.
[2434.42:2435.42]  Calma.
[2435.42:2436.42]  O podcast...
[2436.42:2437.42]  O podcast...
[2437.42:2439.42]  O vídeo desse modelo, não, não, não.
[2439.42:2440.42]  É o podcast.
[2440.42:2441.42]  O vídeo desse vídeo.
[2441.42:2442.42]  O podcast.
[2442.42:2444.42]  O cara não gosta de mim, então pode ser que eu...
[2444.42:2446.42]  Eu nunca tentei roubar a brisa, não sei se você não gosta.
[2446.42:2448.42]  Ah, cara, a gente não consegue trocar ideia.
[2448.42:2449.42]  Eu não sei se você não gosta.
[2449.42:2450.42]  É que fizeram...
[2450.42:2453.42]  Eu teve um vídeo aí, no tempo atrás, que eu perguntaram lá pro...
[2453.42:2456.42]  Para os cara do Jovem Nede, se ele virou no flopo, cara, não.
[2456.42:2458.42]  E passou para o próximo, viu?
[2458.42:2459.42]  Não, é verdade.
[2459.42:2460.42]  Não é beleza, entendeu?
[2460.42:2461.42]  Não.
[2461.42:2464.42]  Eu só queria deixar claro que, assim, eles que são, pai do podcast, na verdade.
[2464.42:2465.42]  Não, eles começaram a nerd...
[2465.42:2470.42]  O tio nerd cast tinha um nerd empreendedor, certo?
[2470.42:2472.42]  Eu sei porque eu não ouvi a podcast.
[2472.42:2474.42]  Eu ouvi, cara, eu ouvi o do tio nerd.
[2474.42:2475.42]  Morro a lepa baixar.
[2475.42:2478.42]  Tem que ser que tem que gostar muito, pra baixar o vídeo deles.
[2478.42:2479.42]  É que tem que necessite deles.
[2479.42:2480.42]  Não sei que não sou de deles.
[2480.42:2483.42]  Não, esse modelo meio de Oregon é você que começou...
[2483.42:2484.42]  É o flow que começou, entendeu?
[2484.42:2487.42]  Então você sabe dizer como que ia começar uma movimenta, assim.
[2487.42:2489.42]  Eu consigo dizer que eu comecei a parar da live de NPC.
[2489.42:2493.42]  E até hoje tá rolando, cara, você é puxir que toca ainda tem,
[2493.42:2494.42]  galera que tá burlando o Gorismo, hein, gente.
[2494.42:2495.42]  Porque não pode.
[2495.42:2497.42]  Ah, deixa-se eu caramando uma roza e ele fala café.
[2497.42:2498.42]  É, sei lá, cara.
[2498.42:2502.42]  Ele tenta falar um pouquinho variante, pra ser rosa.
[2502.42:2503.42]  Rosa.
[2503.42:2505.42]  Rosa, vai não parecer que é igual, você vai lá, cara.
[2505.42:2506.42]  Porque os cara estudou o Gorismo, né?
[2506.42:2508.42]  Mas você falou que solta um vídeo por mês.
[2508.42:2511.42]  Isso significa que tu passa um mês pra produzir um vídeo
[2511.42:2513.42]  ou é um troço meio sem pressão nenhuma.
[2513.42:2516.42]  Não, isso significa que eu sou um vagabundo do caralho.
[2516.42:2517.42]  Será?
[2517.42:2518.42]  Com certeza.
[2518.42:2519.42]  Tá bom.
[2519.42:2520.42]  Tá bom.
[2520.42:2522.42]  Porque se eu não fosse vagabundo, não tarea no YouTube,
[2522.42:2524.42]  pois eu tô no YouTube trabalhando com um vídeo,
[2524.42:2526.42]  porque eu sou um vagabundo do caralho, como consigo.
[2526.42:2528.42]  O que tu, mãe, acha de trabalhar no YouTube?
[2528.42:2529.42]  Meu mãe é dor, cara.
[2529.42:2531.42]  Ah, meu pai e meu pai são meus maiores fãs, assim.
[2531.42:2533.42]  Eles me sempre me apoiaram,
[2533.42:2534.42]  eu sei me ajudaram em tudo, eles adornam, assim.
[2534.42:2536.42]  Naneiro, mora, pede, tu.
[2536.42:2537.42]  Razonavemente perto.
[2537.42:2538.42]  É que agora...
[2538.42:2539.42]  É, na mesma cidade.
[2539.42:2540.42]  Na mesma cidade.
[2540.42:2542.42]  Tá, mas assim, eu comecei a morar sozinho, né?
[2542.42:2545.42]  Eu comecei a morar sozinho, pá, gravar os vídeos, pra fazer os vídeos.
[2545.42:2546.42]  Porque tá atrapalhava, hein?
[2546.42:2547.42]  Casa, falando.
[2547.42:2550.42]  Não, que eu atrapalhava, eles nunca se importaram.
[2550.42:2554.42]  Mas eu não gostava de sentir que tem alguém me ouvindo,
[2554.42:2558.42]  porque eu gosto de falar as maiores patacoadas e coisas imbescidas, entendeu?
[2558.42:2559.42]  Então, eu quero ficar sozinho.
[2559.42:2560.42]  Cara, a gente deu um pacarado.
[2560.42:2563.42]  Eu me sinto melhor, estando sozinho.
[2563.42:2567.42]  Só que meus pais, eles sempre me apoiaram em tudo, cara.
[2567.42:2568.42]  Meu mãe deve estar...
[2568.42:2570.42]  Meu mãe é muito caro, meu mãe é um amor de pessoas.
[2570.42:2573.42]  Meu pai também, tipo, meu pai e minha mãe, caro, não tem nada a clamaia.
[2573.42:2575.42]  Eu tive pais ótimos, entendeu?
[2575.42:2578.42]  Mano, de só adotar falando que minha mãe deve estar chorando, ela deve estar assistindo.
[2578.42:2582.42]  E minha mãe é, tipo, sabe aquela pessoa que é a morzinha, assim, que ajuda todo mundo,
[2582.42:2585.42]  tipo, assim, que é uma pessoa pura mesmo, sabe?
[2585.42:2586.42]  Então, meu pai...
[2586.42:2588.42]  O meu pai e minha mãe, ele fez um equilíbrio muito bom.
[2588.42:2590.42]  Eles foram pais perfeitos, pra mim, assim.
[2590.42:2592.42]  E eles sempre me apoiaram em tudo, cara.
[2592.42:2594.42]  Tudo o céu, de caso, se falar muito tempo?
[2594.42:2596.42]  Cara, faz...
[2596.42:2599.42]  Eu tenho 25 anos, faz uns 6 anos, né?
[2599.42:2600.42]  Eu não faz um tempo, um pouco.
[2600.42:2602.42]  Sim, quando eu fumo na sozinho.
[2602.42:2607.42]  Recentemente graças a Deus com o dinheiro do YouTube, com o meu trabalho, com o que eu faço.
[2607.42:2609.42]  Eu consegui...
[2609.42:2610.42]  É...
[2610.42:2614.42]  Alugar um apartamento, eu moro de lugar, mas tem um apartamento legal que eu moro sozinho lá.
[2614.42:2616.42]  Só que demorava um apartamento que era do meus pais.
[2616.42:2619.42]  Então, eu fui morar com a primeira namorada que eu tinha.
[2619.42:2623.42]  Há muitos tempo atrás, assim, quando eu tinha vinte anos, eu moro em 19 anos,
[2623.42:2625.42]  assim, eu moro em uma primeira namorada.
[2626.42:2628.42]  Já tinha o YouTube, já tinha começado nessa época,
[2628.42:2630.42]  19 anos, eu comecei o felca.
[2630.42:2634.42]  E mais ou menos, por aí, passado dois anos, a gente...
[2634.42:2637.42]  Eu terminei o relacionamento com o meu namorada, eu vou ter moro com meus pais,
[2637.42:2638.42]  depois sair.
[2638.42:2641.42]  Porque, quando você mora sozinho, uma vez você não consegue morar com gente com gente.
[2641.42:2644.42]  Cara, mas eu acho que é por isso que tu é mais maduro, na real.
[2644.42:2645.42]  Tem 25, mas...
[2645.42:2649.42]  É, lembra que a gente tava falando sobre a visão que tu entia, pô, num desmundo...
[2649.42:2650.42]  Cara, se lê?
[2650.42:2652.42]  Cara, eu devia ler mais.
[2652.42:2654.42]  Lea ajuda, cara.
[2654.42:2655.42]  Eu leio todo dia.
[2655.42:2656.42]  É.
[2656.42:2657.42]  Que que você?
[2657.42:2658.42]  Relijosamente, eu leio...
[2658.42:2659.42]  Eu leio pouco.
[2659.42:2661.42]  Eu leio 15 partes por dia, mais ou menos.
[2661.42:2664.42]  Só que eu leio religiousmente todo dia, tipo, vindo a viagem, outro sul livro.
[2664.42:2665.42]  Uh-huh.
[2665.42:2666.42]  Eu leio mais ou menos a cara.
[2666.42:2667.42]  Eu leio mais do que eu.
[2667.42:2669.42]  Ajuda pra caralho, bicho.
[2669.42:2675.42]  Vou cabulario, você saber falar, você saber o que pensar, a leitura te dá ferramenta, cara.
[2675.42:2678.42]  Você precisa lidar com uma situação, a leitura que vai te dar.
[2678.42:2682.42]  Então, por exemplo, eu já li meditações de macorelho, por exemplo.
[2682.42:2683.42]  Estou estesmum.
[2683.42:2688.42]  É uma parada que vai te dar muita ferramenta do que você precisa no momento difícil que você está passando.
[2688.42:2691.42]  E, de algumas pessoas iam surtar, você está com as ferramentas da linda.
[2691.42:2696.42]  Então, por exemplo, o estoisismo, ele fala muito sobre o meimento Mori, que é lembrar-se da morte, né?
[2696.42:2698.42]  Do povíamos, apó retornaremos, sabe?
[2698.42:2702.42]  Quando você está no momento difícil que você está passando o momento delicado, pô, alguém...
[2702.42:2707.42]  Você está de luta, alguém faleceu, ou alguma coisa muito triste com você, você está no momento difícil.
[2707.42:2711.42]  Você se lembra da morte, você se lembra que é tudo passageiro, você se lembra que a gente é muito grande,
[2711.42:2716.42]  você se lembra que a gente é muito pequeno perante universo, que não é nada tão importante quanto parece, sabe?
[2716.42:2719.42]  Caralho, você está fazendo a parada e isso pro bem para o mal.
[2719.42:2724.42]  Quando você está no topo, você pode falar, nossa, caralho, que eu estou fazendo muito importante, cara, tu é porra nenhuma porra.
[2724.42:2726.42]  Tore a tua boça nenhuma, cara.
[2726.42:2729.42]  Não é nada tão importante assim, não, primeiro, tu vai morrer.
[2729.42:2734.42]  Todo mundo que te conhece gosta, você vai morrer, todo mundo que te ama, vai morrer, e todo mundo que te odeio, vai morrer também, cara.
[2734.42:2738.42]  Vai todo morrer daqui 100 anos, daqui 100 anos, vai arreio, parceiro.
[2738.42:2740.42]  Daqui 100 anos vai arreio, tá todo mundo aqui morto, porra.
[2740.42:2741.42]  É, tá ligado?
[2741.42:2747.42]  Essa parada, como você vai ter medo de fazer as coisas, como você vai ter, se importar, como você vai sentir o cara mais fora do mundo,
[2747.42:2752.42]  ou o cara mais merda do mundo, cê danço todo mundo foi varrido, porra, até quem gostava de você.
[2752.42:2757.42]  Então quando você pensa, quando você tem ferramentas, você consegue lidar melhor com as situações, entendeu?
[2757.42:2758.42]  Então, o lejo dá muito, cara.
[2758.42:2761.42]  Eu não leio muito, mas eu leio todo dia religiosamente.
[2761.42:2763.42]  Matudo, é religioso.
[2763.42:2764.42]  Sou?
[2764.42:2765.42]  Religioso.
[2765.42:2767.42]  Não, religioso, não, mas eu sou cristão.
[2767.42:2769.42]  Eu oro todos os dias e tudo mais.
[2769.42:2770.42]  Tá.
[2770.42:2773.42]  Mas eu não vou pegar gréja, porque eu sou meio social, treino.
[2773.42:2777.42]  Aí gréja tem muita gente, porque o seu gréja foi sozinho e ele pegou todo dia.
[2777.42:2779.42]  Se fosse só eu sozinho ficar orando lá.
[2779.42:2781.42]  Olha, é porque... porque o chuteio...
[2781.42:2782.42]  Não guarda gente, cara, isso.
[2782.42:2783.42]  É mentindo.
[2783.42:2784.42]  Eu chutei que tu não é religioso?
[2784.42:2785.42]  Ah, não, tu não é religioso?
[2785.42:2787.42]  Desculpa, eu vou te chamar aqui, cara.
[2787.42:2788.42]  Ah, não, tu não é religioso.
[2788.42:2790.42]  Não, não, não, não, não, não, não, não vai te atirar.
[2790.42:2791.42]  Não, não vai te atirar.
[2791.42:2792.42]  Tanto que ele dá comigo.
[2792.42:2793.42]  Não, eu fiquei super afendido.
[2793.42:2798.42]  Eu chutei que você não era religioso, porque um cara mais religioso,
[2798.42:2802.42]  ele daria com essas questões aí, com a ajuda de Deus, por exemplo.
[2802.42:2803.42]  Ah, mas eu lido também.
[2803.42:2805.42]  Você está falando do gosto?
[2805.42:2806.42]  Eu pica pra caralho.
[2806.42:2810.42]  Porra, o gosto pra pentei costar uma maravilha.
